lang,key,labse_score,cometkiwi_score,avg_score,fr,translation
ar,settings:settings.visual.gridScale,0.369,0.34,0.35450000000000004,Échelle de la grille,حجم الشبكة
tl,stats:stats.contextual.sublines.simpleVariableRt,0.364,0.346,0.355,TR irréguliers.,Mga variable na oras ng pagtugon.
my,settings:settings.ufov.sessionVariant,0.304,0.407,0.3555,Variante de session,စက်ရှင် မူကွဲ
my,settings:settings.tower.sessionVariant,0.304,0.407,0.3555,Variante de session,စက်ရှင် မူကွဲ
my,settings:settings.gridlock.sessionVariant,0.304,0.407,0.3555,Variante de session,စက်ရှင် မူကွဲ
hu,game:game.oddOneOut.shapeDiffAvgRt,0.364,0.348,0.356,TR moy. diff. de forme,Alak kül. átl. RV
ta,home:home.onboarding.introTitle,0.286,0.426,0.356,Bienvenue sur NeuroDual,உருவாக்கத்தில் ஒரு அறிவாற்றல் பயிற்சி அட்லஸ்
mr,home:home.onboarding.introTitle,0.327,0.385,0.356,Bienvenue sur NeuroDual,एक संज्ञानात्मक प्रशिक्षण ॲटलस तयार करण्यात आले आहे
nl,home:home.onboarding.introTitle,0.204,0.509,0.3565,Bienvenue sur NeuroDual,Een cognitieve trainingsatlas in wording
fi,journey:journey.levelRange,0.282,0.431,0.3565,Plage de niveaux,Tasoalue
no,game:game.contrastSensitivity.thresholdContrast,0.246,0.467,0.35650000000000004,Contraste au seuil,Terskelkontrast
pl,settings:settings.accessibility.hapticEnabled,0.214,0.5,0.357,Retour haptique,Wibracje
sw,settings:settings.trace.mindfulTiming,0.192,0.522,0.357,Pleine conscience,Umakini
tl,stats:stats.contextual.insights.rtConsistencyVariableV3,0.389,0.325,0.357,Constance à améliorer,Ang pagkakapare-pareho ay nangangailangan ng trabaho
ta,game:game.pursuitTracking.title,0.282,0.432,0.357,Poursuite visuelle,பர்சூட் டிராக்கிங்
ta,settings:settings.gameMode.pursuitTracking,0.282,0.432,0.357,Poursuite visuelle,பர்சூட் டிராக்கிங்
pl,settings:settings.accessibility.hapticFeedback,0.214,0.5,0.357,Retour haptique,Wibracje
bn,game:game.judgmentOfLearning.calibrationBias,0.153,0.561,0.35700000000000004,Biais de calibration,ক্রমাঙ্কন পক্ষপাত
vi,game:game.timePromem.pmHitsLabel,0.293,0.422,0.3575,Réussites prospectives,lượt truy cập PM
uk,game:game.beadsTask.title,0.357,0.358,0.3575,Tâche des perles,Бісер Завдання
ur,game:game.judgmentOfLearning.title,0.342,0.373,0.35750000000000004,Jugement d'apprentissage,الحكم على السیکھنا
ur,settings:settings.gameMode.judgmentOfLearning,0.342,0.373,0.35750000000000004,Jugement d'apprentissage,الحكم على السیکھنا
tl,game:game.cognitiveEstimation.worstEstimate,0.296,0.42,0.358,Pire estimation,Pinakamasamang Tantya
te,game:game.pursuitTracking.title,0.288,0.428,0.358,Poursuite visuelle,పర్స్యూట్ ట్రాకింగ్
te,settings:settings.gameMode.pursuitTracking,0.288,0.428,0.358,Poursuite visuelle,పర్స్యూట్ ట్రాకింగ్
sv,game:game.fittsTapping.title,0.416,0.301,0.3585,Tapping de Fitts,Passar Tappning
ja,settings:settings.gameMode.tierIncontournable,0.284,0.433,0.3585,Incontournables,必須モード
tr,tutorial:tutorial.ui.memorizeLetter,0.341,0.376,0.35850000000000004,Mémorisez la lettre...,Harfi ezberle...
ur,game:game.consequences.avgPerRound,0.386,0.331,0.35850000000000004,Moy. par manche,اوسط فی راؤنڈ
ta,stats:stats.advanced.passThreshold,0.338,0.379,0.35850000000000004,Seuil de réussite,பாஸ் வாசல்
nl,journey:journey.renamed,0.278,0.44,0.359,Parcours renommé !,Traject hernoemd.
sv,game:game.pursuitTracking.title,0.353,0.365,0.359,Poursuite visuelle,Jaktspårning
ko,game:game.beadsTask.meanDrawsToDecision,0.36,0.358,0.359,Tirages moyens avant décision,평균 뽑기 수
th,settings:settings.visual.gridScale,0.364,0.355,0.3595,Échelle de la grille,สเกลกริด
da,game:game.dichoticListening.attendedAccuracy,0.395,0.324,0.35950000000000004,Précision (canal cible),Deltog i Accuracy
sv,game:game.dichoticListening.attendedAccuracy,0.395,0.324,0.35950000000000004,Précision (canal cible),Deltog i Accuracy
sw,game:game.common.hitRate,0.432,0.288,0.36,Taux de détection,Piga Kiwango
hu,stats:stats.contextual.sublines.simpleVariableRt,0.322,0.398,0.36,TR irréguliers.,Változó válaszidő.
fi,home:home.onboarding.introTitle,0.285,0.436,0.3605,Bienvenue sur NeuroDual,Rakenteilla oleva kognitiivisen harjoittelun atlas
ur,settings:settings.gameMode.reversalLearning,0.302,0.42,0.361,Apprentissage par inversion,السیکھنا بالانعكاس
ur,game:game.reversalLearning.title,0.302,0.42,0.361,Apprentissage par inversion,السیکھنا بالانعكاس
ru,game:game.tower.resetMessage,0.374,0.349,0.3615,Puzzle réinitialisé.,Головоломка сброшена.
sv,stats:stats.simple.accuracyTrend,0.364,0.359,0.3615,Tendance précision,Träffsäkerhetstrend
ar,badges:badges.streak_3.name,0.239,0.484,0.3615,Rituel Naissant,طقس ناشئ
ru,game:game.gridlock.resetMessage,0.374,0.349,0.3615,Puzzle réinitialisé.,Головоломка сброшена.
bn,game:game.pursuitTracking.title,0.278,0.445,0.36150000000000004,Poursuite visuelle,সাধনা ট্র্যাকিং
bn,settings:settings.gameMode.pursuitTracking,0.278,0.445,0.36150000000000004,Poursuite visuelle,সাধনা ট্র্যাকিং
te,settings:settings.dyslatéralisation.mirrorAxisLabel,0.434,0.29,0.362,Axe de symétrie,అద్దం అక్షం
hu,game:game.cogTask.sentenceCompletion.highCloze,0.345,0.38,0.3625,Forte prédictibilité,Magas cloze
el,game:game.pursuitTracking.title,0.327,0.398,0.36250000000000004,Poursuite visuelle,Παρακολούθηση καταδίωξης
el,settings:settings.gameMode.pursuitTracking,0.327,0.398,0.36250000000000004,Poursuite visuelle,Παρακολούθηση καταδίωξης
fi,stats:stats.contextual.sublines.simpleVariableRt,0.352,0.374,0.363,TR irréguliers.,Vaihtelevat vastausajat.
sw,game:game.cogTask.timeEstimation.underestimationBias,0.301,0.425,0.363,Biais de sous-estimation,Upendeleo wa kudharau
uk,game:game.vernierAcuity.title,0.361,0.366,0.3635,Acuité de Vernier,Ноніус гостроти
th,game:game.mnemonicDiscrimination.title,0.279,0.449,0.364,Discrimination mnesique,การเลือกปฏิบัติช่วยในการจำ
km,stats:stats.contextual.insights.rtConsistencyVariableV3,0.362,0.366,0.364,Constance à améliorer,ភាពស៊ីសង្វាក់គ្នាត្រូវការការងារ
no,game:game.doubleDecision.thresholdDisplay,0.282,0.446,0.364,Seuil d'affichage,Terskelvisning
ro,game:game.phonemeDiscrimination.freqThreshold,0.347,0.382,0.3645,Seuil de fréquence,Frec. Prag
sw,home:ospan.measure.firstTestTitle,0.343,0.386,0.36450000000000005,Mesurez votre mémoire de travail,__VAR0__ hatua halali
ko,settings:settings.config.scorableTrials,0.265,0.464,0.36450000000000005,Essais scorables,채점 대상 시행 수
ru,home:home.onboarding.introTitle,0.304,0.426,0.365,Bienvenue sur NeuroDual,Атлас когнитивных тренировок в разработке
tr,game:game.cogTask.pinballRecall.title,0.346,0.385,0.3655,Rappel de flipper,Langırt Hatırlama
hu,settings:settings.premium.features.cloudSyncShort,0.345,0.387,0.366,Synchro en ligne,Felhőszinkron
sw,game:game.fingerTapping.title,0.408,0.325,0.3665,Tapping de doigts,Kugonga Kidole
cs,game:game.binding.title,0.43,0.303,0.3665,Liaison de traits,Funkce Vazba
sw,settings:settings.gameMode.fingerTapping,0.408,0.325,0.3665,Tapping de doigts,Kugonga Kidole
cs,settings:settings.gameMode.binding,0.43,0.303,0.3665,Liaison de traits,Funkce Vazba
id,game:game.beadsTask.title,0.461,0.272,0.36650000000000005,Tâche des perles,Tugas Manik-manik
id,settings:settings.gameMode.tierIncontournable,0.337,0.396,0.36650000000000005,Incontournables,Harus dimiliki
sv,settings:settings.mode.showProgressBar,0.215,0.519,0.367,Barre de progression,Förloppsindikator
sv,game:trace.settings.showProgressBar,0.215,0.519,0.367,Barre de progression,Förloppsindikator
sv,game:game.judgmentOfRecency.title,0.322,0.412,0.367,Jugement de récence,Nyhetsdom
ur,settings:settings.symmetrySpan.displaySpeed,0.35,0.384,0.367,Vitesse des positions,رفتار المواضع
no,stats:stats.advanced.passThreshold,0.314,0.421,0.3675,Seuil de réussite,Pass terskel
mr,settings:settings.audio.voicePitch,0.364,0.371,0.3675,Tonalité des lettres,पत्र पिच
my,game:game.dichoticListening.attendToTheLeftColumn,0.331,0.404,0.36750000000000005,Concentrez-vous sur la colonne de GAUCHE,လက်ဝဲကော်လံသို့ တက်ရောက်ပါ။
tr,game:game.dichoticListening.attendedAccuracy,0.344,0.392,0.368,Précision (canal cible),Katılan Doğruluk
bn,game:game.attentionalBlink.blinkMagnitude,0.327,0.409,0.368,Amplitude du clignement,ব্লিঙ্ক ম্যাগনিটিউড
ur,game:game.cogTask.lineOrientation.heroTitle,0.381,0.356,0.3685,Jugement d'orientation de lignes,حكم تچہرہ الخطوط
ur,settings:settings.gameMode.lineOrientation,0.381,0.356,0.3685,Jugement d'orientation de lignes,حكم تچہرہ الخطوط
bn,badges:badges.streak_30.name,0.298,0.439,0.3685,Discipline de Fer,আয়রন ডিসিপ্লিন
no,settings:settings.accessibility.sessionRecoveryTitle,0.378,0.359,0.3685,Reprise de session,Øktgjenoppretting
fi,game:game.cogTask.sentenceCompletion.highCloze,0.327,0.41,0.3685,Forte prédictibilité,Korkea cloze
da,game:game.judgmentOfRecency.title,0.332,0.405,0.36850000000000005,Jugement de récence,Nyhedsdom
sw,game:game.binding.title,0.331,0.406,0.36850000000000005,Liaison de traits,Kufunga Kipengele
da,settings:settings.gameMode.judgmentOfRecency,0.332,0.405,0.36850000000000005,Jugement de récence,Nyhedsdom
sw,settings:settings.gameMode.binding,0.331,0.406,0.36850000000000005,Liaison de traits,Kufunga Kipengele
ur,game:game.negativePriming.nameTheRedShape,0.379,0.359,0.369,Nommez la forme rouge,سمّ الشکل السرخ
my,settings:settings.account.cloudActive,0.258,0.48,0.369,Synchronisation en ligne active,Cloud စင့်ခ်လုပ်ထားသည်။
no,game:game.dichoticListening.attendedAccuracy,0.4,0.338,0.369,Précision (canal cible),Deltok på Accuracy
bn,game:game.trainOfThought.title,0.394,0.345,0.3695,Fil de la pensée,ট্রেন অফ থট
bn,settings:settings.gameMode.trainOfThought,0.394,0.345,0.3695,Fil de la pensée,ট্রেন অফ থট
ja,game:game.cogTask.dotProbe.heroTitle,0.327,0.413,0.37,Sonde attentionnelle,注意プローブ課題
ur,game:game.gapDetection.gapThreshold,0.343,0.397,0.37,Seuil de détection,حد الفجوة
ja,settings:settings.gameMode.dotProbe,0.327,0.413,0.37,Sonde attentionnelle,注意プローブ課題
sw,game:game.cogTask.sceneCrasher.heroTitle,0.404,0.336,0.37,Intrus dans la scène,Mvamizi wa Eneo
sw,settings:settings.gameMode.sceneCrasher,0.404,0.336,0.37,Intrus dans la scène,Mvamizi wa Eneo
uk,game:game.pursuitTracking.title,0.357,0.384,0.3705,Poursuite visuelle,Відстеження погоні
sw,game:game.timePromem.pmHitsLabel,0.323,0.418,0.3705,Réussites prospectives,PM hits
en,game:game.timePromem.pmHitsLabel,0.323,0.418,0.3705,Réussites prospectives,PM hits
ko,game:game.reversalLearning.avgTrialsToCriterion,0.382,0.36,0.371,Essais moy. au critère,기준까지 평균 시행
pt,home:home.onboarding.introTitle,0.339,0.403,0.371,Bienvenue sur NeuroDual,Um atlas de treino cognitivo em construção
vi,game:game.consequences.avgPerRound,0.432,0.31,0.371,Moy. par manche,Trung bình mỗi vòng
id,game:game.beadsTask.meanDrawsToDecision,0.423,0.32,0.3715,Tirages moyens avant décision,Berarti Menarik Keputusan
no,game:game.cogTask.sentenceCompletion.highCloze,0.361,0.382,0.3715,Forte prédictibilité,Høyt lukket
ms,game:game.ambiguousFigures.meanSwitchRate,0.368,0.375,0.3715,Taux de basculement moyen,Kadar suis min
ms,stats:stats.contextual.sublines.simpleVariableRt,0.328,0.415,0.3715,TR irréguliers.,Waktu respons bervariasi.
id,stats:stats.contextual.sublines.simpleVariableRt,0.328,0.415,0.3715,TR irréguliers.,Waktu respons bervariasi.
sw,stats:stats.contextual.insights.rtConsistencyVariableV3,0.307,0.436,0.3715,Constance à améliorer,Uthabiti unahitaji kazi
th,game:game.aria.traceGrid,0.362,0.381,0.3715,Grille de tracé,ติดตามตาราง
te,game:game.phonemeDiscrimination.freqThreshold,0.457,0.287,0.372,Seuil de fréquence,ఫ్రీక్. థ్రెషోల్డ్
sw,game:game.durationReproduction.meanAbsoluteError,0.343,0.401,0.372,Erreur absolue moyenne,Maana ya Hitilafu Kabisa
km,settings:settings.gameMode.tierIncontournable,0.274,0.47,0.372,Incontournables,ត្រូវតែមាន
sw,game:game.predictionMotion.meanAbsoluteError,0.343,0.401,0.372,Erreur absolue moyenne,Maana ya Hitilafu Kabisa
el,game:game.audiovisualBinding.bindingWindow,0.358,0.386,0.372,Fenêtre de liaison,Παράθυρο βιβλιοδεσίας
sv,game:game.cogTask.tapTheOddOne,0.446,0.298,0.372,Touchez l'intrus,Tryck ut den udda
ms,game:game.consequences.avgPerRound,0.409,0.335,0.372,Moy. par manche,Purata setiap pusingan
it,game:game.fauxPas.fpFound,0.39,0.355,0.3725,Faux pas détectés,Gaffe individuate
nl,game:game.ambiguousFigures.meanSwitches,0.399,0.346,0.3725,Basculements moyens,Beteken schakelaars
ur,game:game.attentionalBlink.secondGreenLetter,0.371,0.374,0.3725,2ᵉ lettre verte ?,الحرف السبز الثاني؟
ur,game:game.tower.undoDescription,0.361,0.385,0.373,Annuler le dernier coup,الواپس عن آخر حركة
ar,settings:settings.dyslatéralisation.title,0.3,0.446,0.373,Dyslatéralisation,تصحيح الجانبية
km,settings:settings.premium.features.cloudSyncShort,0.335,0.411,0.373,Synchro en ligne,សមកាលកម្មលើពពក
ar,settings:settings.nav.dyslatéralisation,0.3,0.446,0.373,Dyslatéralisation,تصحيح الجانبية
nl,game:game.timePromem.pmHitsLabel,0.346,0.4,0.373,Réussites prospectives,PM-hits
ro,game:game.puzzle.guessesLeft,0.422,0.324,0.373,Tentatives restantes,Ghicirile au plecat
km,game:game.anagram.avgSolve,0.379,0.367,0.373,Résolution moy.,មធ្យម ដោះស្រាយ
no,game:game.cogTask.digitSpan.heroTitle,0.331,0.416,0.3735,Empan de chiffres,Tallspenn
da,game:game.cogTask.tapTheOddOne,0.45,0.297,0.3735,Touchez l'intrus,Tryk den ulige ud
hu,settings:settings.gameMode.pursuitTracking,0.27,0.477,0.3735,Poursuite visuelle,Követő nyomkövetés
sw,game:game.rebusPuzzles.avgSolveTime,0.43,0.317,0.3735,Temps de résolution moy.,Wastani wa Tatua Muda
sw,game:game.remoteAssociates.avgSolveTime,0.43,0.317,0.3735,Temps de résolution moy.,Wastani wa Tatua Muda
ta,game:game.chainRecall.title,0.401,0.346,0.3735,Rappel en chaîne,செயின் ரீகால்
ro,game:game.timePromem.pmHitsLabel,0.345,0.402,0.3735,Réussites prospectives,PM hit-uri
my,settings:settings.gameMode.pursuitTracking,0.256,0.492,0.374,Poursuite visuelle,လိုက်စားခြေရာခံခြင်း။
sv,game:game.anagram.avgSolve,0.402,0.346,0.374,Résolution moy.,Genomsnittlig lösa
ko,stats:stats.unifiedReport.falseAlarms,0.218,0.53,0.374,Fausses alertes,오경보
ur,game:game.foreperiod.fpEffectSlope,0.446,0.302,0.374,Pente de l'effet FP,جھکاؤ تأثير الفترة التحضيرية
th,game:game.cogTask.sentenceCompletion.highCloze,0.34,0.408,0.374,Forte prédictibilité,เสื้อคลุมสูง
ko,stats:stats.simple.falseAlarms,0.218,0.53,0.374,Fausses alertes,오경보
ko,game:game.gapDetection.gapThreshold,0.364,0.384,0.374,Seuil de détection,간격 역치
my,game:game.pursuitTracking.title,0.256,0.492,0.374,Poursuite visuelle,လိုက်စားခြေရာခံခြင်း။
ko,game:game.emotionalNback.falseAlarms,0.218,0.53,0.374,Fausses alertes,오경보
tl,game:game.predictionMotion.title,0.388,0.361,0.3745,Prediction de mouvement,Paggalaw ng Paghuhula
nl,game:game.beadsTask.title,0.266,0.483,0.3745,Tâche des perles,Kralen taak
tl,settings:settings.gameMode.predictionMotion,0.388,0.361,0.3745,Prediction de mouvement,Paggalaw ng Paghuhula
te,game:game.dichoticListening.attendedAccuracy,0.329,0.42,0.3745,Précision (canal cible),ఖచ్చితత్వానికి హాజరయ్యారు
my,game:game.consequences.avgPerRound,0.278,0.471,0.3745,Moy. par manche,ပျမ်းမျှ ပတ်ပတ်လည်
ur,game:game.ufov.respondFromMemory,0.32,0.43,0.375,Répondez de mémoire,أجب من الیادداشت
id,game:game.cogTask.sceneCrasher.heroTitle,0.409,0.341,0.375,Intrus dans la scène,Adegan Penyusup
zh,game:game.beadsTask.meanDrawsToDecision,0.383,0.367,0.375,Tirages moyens avant décision,平均抽取次数
ro,stats:report.dualTrack.replayReady,0.49,0.26,0.375,Essai rejouable,Probă gata de redare
cs,stats:stats.advanced.passThreshold,0.403,0.347,0.375,Seuil de réussite,Práh průchodu
my,settings:settings.gameMode.beadsTask,0.366,0.384,0.375,Tâche des perles,ပုတီးစေ့အလုပ်
th,settings:settings.audio.syncPreset,0.338,0.413,0.3755,Profil de synchronisation,ซิงค์ที่ตั้งไว้ล่วงหน้า
sv,settings:settings.gameMode.tierIncontournable,0.398,0.353,0.3755,Incontournables,Måsten
zh,game:game.negativePriming.positivePrimingRt,0.454,0.297,0.3755,TR d'amorçage positif,正启动反应时
tl,game:game.anagram.avgSolve,0.398,0.353,0.3755,Résolution moy.,Avg. lutasin
ur,stats:stats.unifiedReport.hybridJourneyMessages.upDecisionTitle,0.465,0.287,0.376,Niveau superieur debloque,فُتح لیول الاوپر
